1771	286
1769	306
1804	258
1727	254
1781	258
1710	252
1745	247
1708	292
1840	268
1757	259
1811	269
1738	4115
1688	303
1747	253
1814	273
1711	257
1722	273
1732	348
1803	334
1717	294
1788	293
1731	294
1842	319
1761	255
1757	447
1776	257
1747	274
1866	322
1843	438
1767	285
1724	284
1642	266
1675	371
1727	317
1781	268
6625	269
1711	256
1722	259
1739	247
1773	348
1917	258
1755	250
1792	284
1793	402
1789	283
1747	251
1732	265
1767	315
1706	298
1744	247
1764	256
1685	263
1820	5368
1723	269
1740	303
1828	276
1743	301
1698	242
1937	4111
5469	300
1800	244
1756	270
1837	304
1916	249
1884	270
1792	246
1674	273
1671	269
1749	256
1773	269
1739	268
1833	250
1811	243
1784	257
1777	251
1767	288
1715	308
1756	348
1647	389
1630	303
1727	377
1774	245
1813	320
1720	294
1887	304
1770	439
1781	254
1879	322
1889	279
1871	323
1794	258
1767	373
1759	281
1853	274
1809	256
1781	267
1786	280
1789	259
1801	257
1852	286
