1733	285
1564	250
1655	262
1549	240
1593	261
1713	437
1679	4124
1563	223
1551	240
1563	242
1573	467
1622	384
1573	4112
1544	329
5327	236
1718	239
1734	243
5293	279
5358	311
1646	313
5351	255
1551	225
1680	241
5302	249
1531	234
1517	227
1602	231
1683	240
1512	256
1654	238
1606	260
1603	250
1651	319
1641	242
1538	253
1548	324
1501	246
1490	256
1644	420
1616	442
1496	241
1484	218
1514	279
1499	226
1581	257
1549	226
1572	242
1527	239
1527	4123
1524	890
1517	305
1517	237
1493	521
1509	237
1638	254
1605	230
1490	487
1509	223
1493	261
1495	249
1515	263
1546	255
1549	335
1650	255
1527	235
1640	242
1624	260
1621	248
1641	2869
1640	264
1550	245
1648	245
1613	258
1639	253
1637	253
1720	298
1676	321
1628	256
1581	249
1539	244
1654	261
1627	257
6554	256
1621	462
1597	241
1672	261
1581	280
1604	253
1585	273
1634	244
1573	319
1606	282
1622	254
1656	245
1680	240
1585	246
1668	359
1585	251
1585	247
1672	262
