1860	329
1801	293
1620	282
1710	268
1644	276
1625	321
1655	254
1691	261
1637	242
1559	637
1584	305
1700	264
1672	250
1834	318
1700	300
1550	249
1551	244
1505	247
1587	248
1611	253
1503	246
1618	302
1513	302
1551	297
1607	349
1621	398
1629	283
1525	238
1543	224
1541	283
1577	335
1679	260
1534	277
1594	244
1497	235
1545	258
1485	242
1506	251
1508	255
1477	255
1491	280
1514	276
1513	279
1511	297
1517	244
1516	242
1548	265
1529	256
1542	248
1502	1296
1481	4103
1532	238
1501	246
1609	4108
1520	249
1596	240
1501	233
1627	264
1510	254
1612	293
1592	246
1548	242
1508	234
1534	252
1536	254
1554	253
1524	243
1556	282
1572	260
1514	237
1533	326
1513	274
1539	247
1619	297
1635	250
1558	218
1507	232
1506	260
1557	248
1587	276
1517	247
1535	251
1527	271
1482	261
1635	241
1492	258
1680	226
1525	242
1569	237
1520	227
1604	239
1530	242
1510	246
1576	255
1494	228
1544	254
1558	224
1650	245
1578	234
1543	241
