2038	307
1844	348
1728	545
1782	297
1812	4150
1901	302
1871	278
1900	314
1851	373
1863	314
1812	360
2042	379
1796	314
1813	353
1832	361
1759	331
1808	307
1856	373
1936	543
1827	360
1871	697
1808	370
1950	424
1824	327
1790	295
1956	3130
1841	315
1842	296
1810	265
1818	326
2059	307
1846	328
1818	365
1886	367
1881	369
1930	526
1879	305
1836	399
1886	866
1916	336
1863	484
1807	295
2193	432
1876	383
1906	313
1945	488
5630	322
1972	378
2354	280
1899	338
1889	370
1791	339
1764	337
1798	601
1928	358
2259	362
1899	325
1910	379
1943	346
1993	446
1838	315
1808	304
1856	294
1800	309
1879	307
1906	331
1816	339
1776	289
1879	330
1849	341
1861	325
1856	334
2010	333
1875	361
6938	442
1806	347
1891	500
1906	440
1913	368
1967	442
1992	323
1893	289
1866	287
1812	294
2002	303
1901	320
1864	366
1904	301
1854	336
1811	5394
1857	4131
1844	374
1881	391
1943	355
1907	385
1892	285
2012	281
1860	345
2055	329
1998	293
